Input function with masked if condition,Prediction correct (true/false),Expected if condition,Predicted if condition,CodeBLEU prediction score (0-100),BLEU-4 prediction score (0-100)
"def list_files(basedir): """"""List files in the directory rooted at |basedir|."""""" if not os.path.isdir(basedir): raise NoSuchDirectory(basedir) directories = [""""] while directories: d = directories.pop() for basename in os.listdir(os.path.join(basedir, d)): filename = os.path.join(d, basename) if os.path.isdir(os.path.join(basedir, filename)): directories.append(filename) elif os.path.exists(os.path.join(basedir, filename)): yield filename",false,"elif os . path . exists ( os . path . join ( basedir , filename ) ) :","filename)filename)filename)filename)if os.path.exists(os.path.join(basedir, filename))",89.47,63.17
"def assistive(self): """"""Detects if item can be used as assistance"""""" # Make sure we cache results if self.__assistive is None: assistive = False # Go through all effects and find first assistive for effect in self.effects.values(): if effect.isAssistance is True: # If we find one, stop and mark item as assistive assistive = True break self.__assistive = assistive return self.__assistive",false,if effect . isAssistance is True :,assistiveTrue:self.__assistive =True:self.__assistive =self.__assistive,42.86,4.02
"def closest_unseen(self, row1, col1, filter=None): # find the closest unseen from this row/col min_dist = maxint closest_unseen = None for row in range(self.height): for col in range(self.width): if filter is None or (row, col) not in filter: if self.map[row][col] == UNSEEN: dist = self.distance(row1, col1, row, col) if dist < min_dist: min_dist = dist closest_unseen = (row, col) return closest_unseen",false,if dist < min_dist :,=min_dist= min_dist= min_dist= min_dist= min_dist= min_,20.0,6.59
"def _maybe_has_default_route(self): for route in self.iter_routes(): if self._is_default_route(route): return True for iface in self.iter_interfaces(): for subnet in iface.get(""subnets"", []): for route in subnet.get(""routes"", []): if self._is_default_route(route): return True return False",false,if self . _is_default_route ( route ) :,self):,37.5,0.0
"def data(self, data): if data is None: raise Exception(""Data cannot be None"") val = [] for d in data: if isinstance(d, str): val.append(bytes(d, ""utf-8"")) elif isinstance(d, bytes): val.append(d) else: raise Exception( ""Invalid type, data can only be an str or a bytes not {}: {}"".format( type(data), d ) ) self.__data = val",false,"elif isinstance ( d , bytes ) :",self.__data_type =self.__data_typeself.__data_typeself.__data_typeself.__data_,0.0,0.0
"def get_one_segment_function(data, context, echoerr): ext = data[""ext""] function_name = context[-2][1].get(""function"") if function_name: module, function_name = get_function_strings(function_name, context, ext) func = import_segment(function_name, data, context, echoerr, module=module) if func: yield func",false,if func :,"func=import_segment(function_name,context,echoerr):",66.67,3.13
"def generic_visit(self, node, parents=None): parents = (parents or []) + [node] for field, value in iter_fields(node): if isinstance(value, list): for item in value: if isinstance(item, AST): self.visit(item, parents) elif isinstance(value, AST): self.visit(value, parents)",false,"if isinstance ( item , AST ) :","=field,value):self.visit(field, parents)",50.0,6.75
"def find_scintilla_constants(f): lexers = [] states = [] for name in f.order: v = f.features[name] if v[""Category""] != ""Deprecated"": if v[""FeatureType""] == ""val"": if name.startswith(""SCE_""): states.append((name, v[""Value""])) elif name.startswith(""SCLEX_""): lexers.append((name, v[""Value""])) return (lexers, states)",false,"if v [ ""Category"" ] != ""Deprecated"" :",=f.order[name]=f.order[name]=f.order[name]=,23.08,2.27
"def things(self, query): limit = query.pop(""limit"", 100) offset = query.pop(""offset"", 0) keys = set(self.docs) for k, v in query.items(): if isinstance(v, dict): # query keys need to be flattened properly, # this corrects any nested keys that have been included # in values. flat = common.flatten_dict(v)[0] k += ""."" + web.rstrips(flat[0], "".key"") v = flat[1] keys = set(k for k in self.filter_index(self.index, k, v) if k in keys) keys = sorted(keys) return keys[offset : offset + limit]",false,"if isinstance ( v , dict ) :",.) fork in self.filter_index(self.filter_index(self.docs))k in self.filter,25.0,1.72
"def del_(self, key): initial_hash = hash_ = self.hash(key) while True: if self._keys[hash_] is self._empty: # That key was never assigned return None elif self._keys[hash_] == key: # key found, assign with deleted sentinel self._keys[hash_] = self._deleted self._values[hash_] = self._deleted self._len -= 1 return hash_ = self._rehash(hash_) if initial_hash == hash_: # table is full and wrapped around return None",false,elif self . _keys [ hash_ ] == key :,=self._values[hash_]=self._values[hash_]=self._values[hash_],63.64,17.9
"def test_204_invalid_content_length(self): # 204 status with non-zero content length is malformed with ExpectLog(gen_log, "".*Response with code 204 should not have body""): response = self.fetch(""/?error=1"") if not self.http1: self.skipTest(""requires HTTP/1.x"") if self.http_client.configured_class != SimpleAsyncHTTPClient: self.skipTest(""curl client accepts invalid headers"") self.assertEqual(response.code, 599)",false,if not self . http1 :,"self.skipTest(""requires HTTP/1.x"")",33.33,6.18
"def __str__(self) -> str: text = ""\n"" for k, r in self.result.items(): text += ""{}\n"".format(""#"" * 40) if r.failed: text += ""# {} (failed)\n"".format(k) else: text += ""# {} (succeeded)\n"".format(k) text += ""{}\n"".format(""#"" * 40) for sub_r in r: text += ""**** {}\n"".format(sub_r.name) text += ""{}\n"".format(sub_r) return text",false,if r . failed :,"text""****""****""****""****""****""****""****""****""****",0.0,0.0
"def DeleteTask(): oid = request.form.get(""oid"", """") if oid: result = Mongo.coll[""Task""].delete_one({""_id"": ObjectId(oid)}) if result.deleted_count > 0: result = Mongo.coll[""Result""].delete_many({""task_id"": ObjectId(oid)}) if result: return ""success"" return ""fail""",false,if result . deleted_count > 0 :,"""success""",0.0,0.0
"def _replace_vars(self, line, extracted, env_variables): for e in extracted: if e in env_variables: value = env_variables.get(e) if isinstance(value, dict) or isinstance(value, list): value = pprint.pformat(value) decorated = self._decorate_var(e) line = line.replace(decorated, str(value)) return line",false,if e in env_variables :,line,0.0,0.0
"def should_include(service): for f in filt: if f == ""status"": state = filt[f] containers = project.containers([service.name], stopped=True) if not has_container_with_state(containers, state): return False elif f == ""source"": source = filt[f] if source == ""image"" or source == ""build"": if source not in service.options: return False else: raise UserError(""Invalid value for source filter: %s"" % source) else: raise UserError(""Invalid filter: %s"" % f) return True",false,if source not in service . options :,:service.options[service.name]:::::::::,50.0,8.59
def state_callback_loop(): if usercallback: when = 1 while ( when and not self.future_removed.done() and not self.session.shutdownstarttime ): result = usercallback(self.get_state()) when = (await result) if iscoroutine(result) else result if when > 0.0 and not self.session.shutdownstarttime: await sleep(when),false,if when > 0.0 and not self . session . shutdownstarttime :,self.future_removed.done()whenself.future_removed.done()self.future_removed.done(),28.57,3.07
"def __get_new_timeout(self, timeout): """"""When using --timeout_multiplier=#.#"""""" self.__check_scope() try: timeout_multiplier = float(self.timeout_multiplier) if timeout_multiplier <= 0.5: timeout_multiplier = 0.5 timeout = int(math.ceil(timeout_multiplier * timeout)) return timeout except Exception: # Wrong data type for timeout_multiplier (expecting int or float) return timeout",false,if timeout_multiplier <= 0.5 :,timeout_multiplier=self.timeout_multiplier,37.5,19.07
"def readexactly(self, n): buf = b"""" while n: yield IORead(self.s) res = self.s.read(n) assert res is not None if not res: yield IOReadDone(self.s) break buf += res n -= len(res) return buf",false,if not res :,buf,0.0,0.0
"def contract_rendering_pane(event): """"""Expand the rendering pane."""""" c = event.get(""c"") if c: vr = c.frame.top.findChild(QtWidgets.QWidget, ""viewrendered_pane"") if vr: vr.contract() else: # Just open the pane. viewrendered(event)",false,if vr :,"event.get(""c"")",0.0,0.0
"def translate_headers(self, environ): """"""Translate CGI-environ header names to HTTP header names."""""" for cgiName in environ: # We assume all incoming header keys are uppercase already. if cgiName in self.headerNames: yield self.headerNames[cgiName], environ[cgiName] elif cgiName[:5] == ""HTTP_"": # Hackish attempt at recovering original header names. translatedHeader = cgiName[5:].replace(""_"", ""-"") yield translatedHeader, environ[cgiName]",false,if cgiName in self . headerNames :,=self.headerNames[cgiName],57.14,26.27
"def get_value_from_string(self, string_value): """"""Return internal representation starting from CFN/user-input value."""""" param_value = self.get_default_value() try: if string_value is not None: string_value = str(string_value).strip() if string_value != ""NONE"": param_value = int(string_value) except ValueError: self.pcluster_config.warn( ""Unable to convert the value '{0}' to an Integer. "" ""Using default value for parameter '{1}'"".format(string_value, self.key) ) return param_value",false,if string_value is not None :,"parameter '{0}'totheparameter '{1}'."".format(param_value, self.key)))",0.0,2.89
"def monitor_filter(self): """"""Return filtered service objects list"""""" services = self.client.services.list(filters={""label"": ""com.ouroboros.enable""}) monitored_services = [] for service in services: ouro_label = service.attrs[""Spec""][""Labels""].get(""com.ouroboros.enable"") if not self.config.label_enable or ouro_label.lower() in [""true"", ""yes""]: monitored_services.append(service) self.data_manager.monitored_containers[self.socket] = len(monitored_services) self.data_manager.set(self.socket) return monitored_services",false,"if not self . config . label_enable or ouro_label . lower ( ) in [ ""true"" , ""yes"" ] :","monitored_servicesself.socket] =self.socket.socket_name,self.socket.socket_name,",25.0,3.75
"def nextEditable(self): """"""Moves focus of the cursor to the next editable window"""""" if self.currentEditable is None: if len(self._editableChildren): self._currentEditableRef = self._editableChildren[0] else: for ref in weakref.getweakrefs(self.currentEditable): if ref in self._editableChildren: cei = self._editableChildren.index(ref) nei = cei + 1 if nei >= len(self._editableChildren): nei = 0 self._currentEditableRef = self._editableChildren[nei] return self.currentEditable",false,if nei >= len ( self . _editableChildren ) :,self.currentEditableRefself.currentEditableRefself.currentEditableRefself.currentEditableRefself.currentEditableRef,18.18,6.84
"def linkify_cm_by_tp(self, timeperiods): for rm in self: mtp_name = rm.modulation_period.strip() # The new member list, in id mtp = timeperiods.find_by_name(mtp_name) if mtp_name != """" and mtp is None: err = ( ""Error: the business impact modulation '%s' got an unknown "" ""modulation_period '%s'"" % (rm.get_name(), mtp_name) ) rm.configuration_errors.append(err) rm.modulation_period = mtp",false,"if mtp_name != """" and mtp is None :","=( rm.get_name(), mtp_name)=() rm .() rm .",18.18,6.59
def close_open_fds(keep=None): # noqa keep = [maybe_fileno(f) for f in (keep or []) if maybe_fileno(f) is not None] for fd in reversed(range(get_fdmax(default=2048))): if fd not in keep: try: os.close(fd) except OSError as exc: if exc.errno != errno.EBADF: raise,false,if fd not in keep :,except:raiseexcept:raise)========,16.67,2.84
"def _append_child_from_unparsed_xml(father_node, unparsed_xml): """"""Append child xml nodes to a node."""""" dom_tree = parseString(unparsed_xml) if dom_tree.hasChildNodes(): first_child = dom_tree.childNodes[0] if first_child.hasChildNodes(): child_nodes = first_child.childNodes for _ in range(len(child_nodes)): childNode = child_nodes.item(0) father_node.appendChild(childNode) return raise DistutilsInternalError( ""Could not Append append elements to "" ""the Windows msi descriptor."" )",false,if first_child . hasChildNodes ( ) :,"child nodes to a node."")father_node.appendChild(father_node) return father_node.appendChild",42.86,2.35
"def process_request(self, request): for old, new in self.names_name: request.uri = request.uri.replace(old, new) if is_text_payload(request) and request.body: body = six.ensure_str(request.body) if old in body: request.body = body.replace(old, new) return request",false,if is_text_payload ( request ) and request . body :,request.uri,20.0,0.0
"def __init__(self, **options): self.func_name_highlighting = get_bool_opt(options, ""func_name_highlighting"", True) self.disabled_modules = get_list_opt(options, ""disabled_modules"", []) self._functions = set() if self.func_name_highlighting: from pygments.lexers._luabuiltins import MODULES for mod, func in MODULES.iteritems(): if mod not in self.disabled_modules: self._functions.update(func) RegexLexer.__init__(self, **options)",false,if mod not in self . disabled_modules :,self.disabled_modules):self.disabled_modules.append(mod)self.disabled_modules.append(mod),62.5,14.13
"def GetBestSizeForParentSize(self, parentSize): """"""Finds the best width and height given the parent's width and height."""""" if len(self.GetChildren()) == 1: win = self.GetChildren()[0] if isinstance(win, RibbonControl): temp_dc = wx.ClientDC(self) childSize = win.GetBestSizeForParentSize(parentSize) clientParentSize = self._art.GetPanelClientSize( temp_dc, self, wx.Size(*parentSize), None ) overallSize = self._art.GetPanelSize( temp_dc, self, wx.Size(*clientParentSize), None ) return overallSize return self.GetSize()",false,"if isinstance ( win , RibbonControl ) :","parentSize, wx.Size(*parentSize), None )self._art.GetPanelClientSize(temp_dc, self, wx",37.5,1.9
"def pid_from_name(name): processes = [] for pid in os.listdir(""/proc""): try: pid = int(pid) pname, cmdline = SunProcess._name_args(pid) if name in pname: return pid if name in cmdline.split("" "", 1)[0]: return pid except: pass raise ProcessException(""No process with such name: %s"" % name)",false,if name in pname :,=pid,0.0,0.0
"def __get_file_by_num(self, num, file_list, idx=0): for element in file_list: if idx == num: return element if element[3] and element[4]: i = self.__get_file_by_num(num, element[3], idx + 1) if not isinstance(i, int): return i idx = i else: idx += 1 return idx",false,if element [ 3 ] and element [ 4 ] :,idx:,9.09,0.0
"def scan_block_scalar_indentation(self): # See the specification for details. chunks = [] max_indent = 0 end_mark = self.get_mark() while self.peek() in "" \r\n\x85\u2028\u2029"": if self.peek() != "" "": chunks.append(self.scan_line_break()) end_mark = self.get_mark() else: self.forward() if self.column > max_indent: max_indent = self.column return chunks, max_indent, end_mark",false,if self . column > max_indent :,=self.scan_line_break() end_mark =self.forward() end_mark =end_markend,28.57,3.2
"def ant_map(m): tmp = ""rows %s\ncols %s\n"" % (len(m), len(m[0])) players = {} for row in m: tmp += ""m "" for col in row: if col == LAND: tmp += ""."" elif col == BARRIER: tmp += ""%"" elif col == FOOD: tmp += ""*"" elif col == UNSEEN: tmp += ""?"" else: players[col] = True tmp += chr(col + 97) tmp += ""\n"" tmp = (""players %s\n"" % len(players)) + tmp return tmp",false,elif col == FOOD :,")=""""""""""""""""""""""""""",16.67,2.63
"def prepare_data(entry): branch_wise_entries = {} gross_pay = 0 for d in entry: gross_pay += d.gross_pay if branch_wise_entries.get(d.branch): branch_wise_entries[d.branch][d.mode_of_payment] = d.net_pay else: branch_wise_entries.setdefault(d.branch, {}).setdefault( d.mode_of_payment, d.net_pay ) return branch_wise_entries, gross_pay",false,if branch_wise_entries . get ( d . branch ) :,=,0.0,0.0
"def __init__(self, uuid=None, cluster_state=None, children=None, **kwargs): self.uuid = uuid self.cluster_state = cluster_state if self.cluster_state is not None: self.children = WeakSet( self.cluster_state.tasks.get(task_id) for task_id in children or () if task_id in self.cluster_state.tasks ) else: self.children = WeakSet() self._serializer_handlers = { ""children"": self._serializable_children, ""root"": self._serializable_root, ""parent"": self._serializable_parent, } if kwargs: self.__dict__.update(kwargs)",false,if task_id in self . cluster_state . tasks,"""children"" :""children"" : self .""children"" : self .""root"": self._serializable_root,",37.5,3.49
"def listdir(self, d): try: return [ p for p in os.listdir(d) if os.path.basename(p) != ""CVS"" and os.path.isdir(os.path.join(d, p)) ] except OSError: return []",false,"if os . path . basename ( p ) != ""CVS"" and os . path . isdir ( os . path . join ( d , p ) )",d,3.12,0.0
"def send_packed_command(self, command, check_health=True): if not self._sock: self.connect() try: if isinstance(command, str): command = [command] for item in command: self._sock.sendall(item) except socket.error as e: self.disconnect() if len(e.args) == 1: _errno, errmsg = ""UNKNOWN"", e.args[0] else: _errno, errmsg = e.args raise ConnectionError( ""Error %s while writing to socket. %s."" % (_errno, errmsg) ) except Exception: self.disconnect() raise",false,"if isinstance ( command , str ) :",": raise ConnectionError( ""Error%s while writing tosocket.errorsocket.error, errmsg)socket.error, errmsg",50.0,2.33
"def run(self): """"""Start the scanner"""""" logging.info(""Dirscanner starting up"") self.shutdown = False while not self.shutdown: # Wait to be woken up or triggered with self.loop_condition: self.loop_condition.wait(self.dirscan_speed) if self.dirscan_speed and not self.shutdown: self.scan()",false,if self . dirscan_speed and not self . shutdown :,self.loop_condition:,30.0,7.1
"def __aexit__( self, exc_type: type, exc_value: BaseException, tb: TracebackType ) -> None: if exc_type is not None: await self.close() await self._task while not self._receive_queue.empty(): data = await self._receive_queue.get() if isinstance(data, bytes): self.response_data.extend(data) elif not isinstance(data, HTTPDisconnect): raise data",false,"elif not isinstance ( data , HTTPDisconnect ) :",None:self._task.close(),33.33,5.52
"def f(msg): text = extractor(msg) for px in prefix: if text.startswith(px): chunks = text[len(px) :].split(separator) return chunks[0], (chunks[1:],) if pass_args else () return ((None,),) # to distinguish with `None`",false,if text . startswith ( px ) :,=,0.0,0.0
"def _flatten(*args): ahs = set() if len(args) > 0: for item in args: if type(item) is ActionHandle: ahs.add(item) elif type(item) in (list, tuple, dict, set): for ah in item: if type(ah) is not ActionHandle: # pragma:nocover raise ActionManagerError(""Bad argument type %s"" % str(ah)) ahs.add(ah) else: # pragma:nocover raise ActionManagerError(""Bad argument type %s"" % str(item)) return ahs",false,"elif type ( item ) in ( list , tuple , dict , set ) :",:)))))))))))))),18.75,3.24
"def find_class(self, module, name): # Subclasses may override this. sys.audit(""pickle.find_class"", module, name) if self.proto < 3 and self.fix_imports: if (module, name) in _compat_pickle.NAME_MAPPING: module, name = _compat_pickle.NAME_MAPPING[(module, name)] elif module in _compat_pickle.IMPORT_MAPPING: module = _compat_pickle.IMPORT_MAPPING[module] __import__(module, level=0) if self.proto >= 4: return _getattribute(sys.modules[module], name)[0] else: return getattr(sys.modules[module], name)",false,elif module in _compat_pickle . IMPORT_MAPPING :,name)name)name)name)name)namename)namename)name)name,0.0,0.0
"def _send_until_done(self, data): while True: try: return self.connection.send(data) except OpenSSL.SSL.WantWriteError: wr = util.wait_for_write(self.socket, self.socket.gettimeout()) if not wr: raise timeout() continue except OpenSSL.SSL.SysCallError as e: raise SocketError(str(e))",false,if not wr :,self.socket.gettimeout(),0.0,0.0
"def __new__(cls, *args, **kwargs): """"""Hack to ensure method defined as async are implemented as such."""""" coroutines = inspect.getmembers(BaseManager, predicate=inspect.iscoroutinefunction) for coroutine in coroutines: implemented_method = getattr(cls, coroutine[0]) if not inspect.iscoroutinefunction(implemented_method): raise RuntimeError(""The method %s must be a coroutine"" % implemented_method) return super().__new__(cls, *args, **kwargs)",false,if not inspect . iscoroutinefunction ( implemented_method ) :,coroutinecoroutine,0.0,0.0
"def add_directive(self, name, obj, content=None, arguments=None, **options): if isinstance(obj, clstypes) and issubclass(obj, Directive): if content or arguments or options: raise ExtensionError( ""when adding directive classes, no "" ""additional arguments may be given"" ) directives.register_directive(name, directive_dwim(obj)) else: obj.content = content obj.arguments = arguments obj.options = options directives.register_directive(name, obj)",false,if content or arguments or options :,=obj),0.0,0.0
"def create(self, w): if w.use_eventloop: # does not use dedicated timer thread. w.timer = _Timer(max_interval=10.0) else: if not w.timer_cls: # Default Timer is set by the pool, as for example, the # eventlet pool needs a custom timer implementation. w.timer_cls = w.pool_cls.Timer w.timer = self.instantiate( w.timer_cls, max_interval=w.timer_precision, on_error=self.on_timer_error, on_tick=self.on_timer_tick, )",false,if not w . timer_cls :,"w.timer_cls,= self.instantiate( w.timer_cls,w.timer_precision, on_tick",50.0,13.52
"def _config(_molecule_file, request): with open(_molecule_file) as f: d = util.safe_load(f) if hasattr(request, ""param""): if isinstance(request.getfixturevalue(request.param), str): d2 = util.safe_load(request.getfixturevalue(request.param)) else: d2 = request.getfixturevalue(request.param) # print(100, d) # print(200, d2) d = util.merge_dicts(d, d2) # print(300, d) return d",false,"if isinstance ( request . getfixturevalue ( request . param ) , str ) :","d2)= util.merge_dicts(d,d2) # print(200, d2)# print(",40.0,2.58
"def _instrument_model(self, model): for key, value in list( model.__dict__.items() ): # avoid ""dictionary keys changed during iteration"" if isinstance(value, tf.keras.layers.Layer): new_layer = self._instrument(value) if new_layer is not value: setattr(model, key, new_layer) elif isinstance(value, list): for i, item in enumerate(value): if isinstance(item, tf.keras.layers.Layer): value[i] = self._instrument(item) return model",false,"if isinstance ( value , tf . keras . layers . Layer ) :",model.__dict__.pop(),28.57,4.04
"def is_accepted_drag_event(self, event): if event.source() == self.table: return True mime = event.mimeData() if mime.hasUrls(): for url in mime.urls(): # Only support local files. if not url.isLocalFile(): break # And only allow supported extensions. filename = url.toLocalFile() extension = os.path.splitext(filename)[1].lower()[1:] if extension not in _dictionary_formats(): break else: return True return False",false,if not url . isLocalFile ( ) :,event:event:event:,12.5,5.82
"def explain(self, other, depth=0): exp = super(UnionType, self).explain(other, depth) for ndx, subtype in enumerate(self.params[""allowed_types""]): if ndx > 0: exp += ""\n{}and"".format("""".join([""\t""] * depth)) exp += ""\n"" + subtype.explain(other, depth=depth + 1) return exp",false,if ndx > 0 :,exp,0.0,0.0
"def test_k_is_stochastic_parameter(self): # k as stochastic parameter aug = iaa.MedianBlur(k=iap.Choice([3, 5])) seen = [False, False] for i in sm.xrange(100): observed = aug.augment_image(self.base_img) if np.array_equal(observed, self.blur3x3): seen[0] += True elif np.array_equal(observed, self.blur5x5): seen[1] += True else: raise Exception(""Unexpected result in MedianBlur@2"") if all(seen): break assert np.all(seen)",false,"elif np . array_equal ( observed , self . blur5x5 ) :",k==============,0.0,0.0
"def test_get_message(self): async with self.chat_client: await self._create_thread() async with self.chat_thread_client: message_id = await self._send_message() message = await self.chat_thread_client.get_message(message_id) assert message.id == message_id assert message.type == ChatMessageType.TEXT assert message.content.message == ""hello world"" # delete chat threads if not self.is_playback(): await self.chat_client.delete_chat_thread(self.thread_id)",false,if not self . is_playback ( ) :,async withself.thread_id)message_idmessage_idmessage_idmessage_idmessage_id,25.0,2.83
"def do_write_property(self, device, callback=None): try: iocb = ( device if isinstance(device, IOCB) else self.form_iocb(device, request_type=""writeProperty"") ) deferred(self.request_io, iocb) self.requests_in_progress.update({iocb: {""callback"": callback}}) iocb.add_callback(self.__general_cb) except Exception as error: log.exception(""exception: %r"", error)",false,"if isinstance ( device , IOCB )",self.request_io.add_callback(self.__general_cb),28.57,2.55
"def fit(self, dataset, force_retrain): if force_retrain: self.sub_unit_1[""fitted""] = True self.sub_unit_1[""calls""] += 1 self.sub_unit_2[""fitted""] = True self.sub_unit_2[""calls""] += 1 else: if not self.sub_unit_1[""fitted""]: self.sub_unit_1[""fitted""] = True self.sub_unit_1[""calls""] += 1 if not self.sub_unit_2[""fitted""]: self.sub_unit_2[""fitted""] = True self.sub_unit_2[""calls""] += 1 return self",false,"if not self . sub_unit_2 [ ""fitted"" ] :","self.sub_unit_2[""calls""] += 1self.sub_unit_2[""calls""] += 1self.sub",63.64,27.24
"def _insert_with_loop(self): id_list = [] last_id = None return_id_list = self._return_id_list for row in self._rows: last_id = InsertQuery(self.model_class, row).upsert(self._upsert).execute() if return_id_list: id_list.append(last_id) if return_id_list: return id_list else: return last_id",false,if return_id_list :,=,0.0,0.0
"def merge_block(self): """"""merges a block in the map"""""" for i in range(self.block.x): for j in range(self.block.x): c = self.block.get(i, j) if c: self.map[(i + self.block.pos.x, j + self.block.pos.y)] = c",false,if c :,=,0.0,0.0
"def configure_plex(config): core.PLEX_SSL = int(config[""Plex""][""plex_ssl""]) core.PLEX_HOST = config[""Plex""][""plex_host""] core.PLEX_PORT = config[""Plex""][""plex_port""] core.PLEX_TOKEN = config[""Plex""][""plex_token""] plex_section = config[""Plex""][""plex_sections""] or [] if plex_section: if isinstance(plex_section, list): plex_section = "","".join(plex_section) # fix in case this imported as list. plex_section = [tuple(item.split("","")) for item in plex_section.split(""|"")] core.PLEX_SECTION = plex_section",false,"if isinstance ( plex_section , list ) :",===============,0.0,0.0
"def select(self): e = xlib.XEvent() while xlib.XPending(self._display): xlib.XNextEvent(self._display, e) # Key events are filtered by the xlib window event # handler so they get a shot at the prefiltered event. if e.xany.type not in (xlib.KeyPress, xlib.KeyRelease): if xlib.XFilterEvent(e, e.xany.window): continue try: dispatch = self._window_map[e.xany.window] except KeyError: continue dispatch(e)",false,"if e . xany . type not in ( xlib . KeyPress , xlib . KeyRelease ) :",#event#event#event#event#event#event#event#,0.0,0.0
"def format_message(self): bits = [self.message] if self.possibilities: if len(self.possibilities) == 1: bits.append(""Did you mean %s?"" % self.possibilities[0]) else: possibilities = sorted(self.possibilities) bits.append(""(Possible options: %s)"" % "", "".join(possibilities)) return "" "".join(bits)",false,if len ( self . possibilities ) == 1 :,=,9.09,0.0
"def _collect_logs(model): page_token = None all_logs = [] while True: paginated_logs = model.lookup_logs(now, later, page_token=page_token) page_token = paginated_logs.next_page_token all_logs.extend(paginated_logs.logs) if page_token is None: break return all_logs",false,if page_token is None :,=,0.0,0.0
"def run(self): while True: context_id_list_tuple = self._inflated_addresses.get(block=True) if context_id_list_tuple is _SHUTDOWN_SENTINEL: break c_id, inflated_address_list = context_id_list_tuple inflated_value_map = dict(inflated_address_list) if c_id in self._contexts: self._contexts[c_id].set_from_tree(inflated_value_map)",false,if context_id_list_tuple is _SHUTDOWN_SENTINEL :,inflated_address_list,0.0,3.91
"def _setup_prefix(self): # we assume here that our metadata may be nested inside a ""basket"" # of multiple eggs; that's why we use module_path instead of .archive path = self.module_path old = None while path != old: if path.lower().endswith("".egg""): self.egg_name = os.path.basename(path) self.egg_info = os.path.join(path, ""EGG-INFO"") self.egg_root = path break old = path path, base = os.path.split(path)",false,"if path . lower ( ) . endswith ( "".egg"" ) :",============= os.path.,20.0,5.06
"def get_filename(self, prompt): okay = False val = """" while not okay: val = raw_input(""%s: %s"" % (prompt, val)) val = os.path.expanduser(val) if os.path.isfile(val): okay = True elif os.path.isdir(val): path = val val = self.choose_from_list(os.listdir(path)) if val: val = os.path.join(path, val) okay = True else: val = """" else: print(""Invalid value: %s"" % val) val = """" return val",false,elif os . path . isdir ( val ) :,=val =============,10.0,2.63
"def versions(self, sitename, data): # handle the query of type {""query"": '{""key"": ""/books/ia:foo00bar"", ...}} if ""query"" in data: q = json.loads(data[""query""]) itemid = self._get_itemid(q.get(""key"")) if itemid: key = q[""key""] return json.dumps([self.dummy_edit(key)]) # if not just go the default way return ConnectionMiddleware.versions(self, sitename, data)",false,if itemid :,data:,33.33,0.0
"def read_stanza(self): while True: try: stanza_end = self._buffer.index(b""\n"") stanza = self.decoder.decode(self._buffer[:stanza_end]) self._buffer = self._buffer[stanza_end + 1 :] colon = stanza.index("":"") return stanza[:colon], stanza[colon + 1 :] except ValueError: bytes = self.read_bytes() if not bytes: return None else: self._buffer += bytes",false,if not bytes :,=self._buffer[:stanza_end],25.0,3.75
def decodeattrs(attrs): names = [] for bit in range(16): mask = 1 << bit if attrs & mask: if attrnames.has_key(mask): names.append(attrnames[mask]) else: names.append(hex(mask)) return names,false,if attrs & mask :,=,0.0,0.0
"def _set_http_cookie(): if conf.cookie: if isinstance(conf.cookie, dict): conf.http_headers[HTTP_HEADER.COOKIE] = ""; "".join( map(lambda x: ""="".join(x), conf.cookie.items()) ) else: conf.http_headers[HTTP_HEADER.COOKIE] = conf.cookie",false,"if isinstance ( conf . cookie , dict ) :",=,0.0,0.0
"def __ne__(self, other): if isinstance(other, WeakMethod): if not self._alive or not other._alive: return self is not other return weakref.ref.__ne__(self, other) or self._func_ref != other._func_ref return True",false,if not self . _alive or not other . _alive :,self,9.09,0.0
"def update_unread(self, order_id, reset=False): conn = Database.connect_database(self.PATH) with conn: cursor = conn.cursor() if reset is False: cursor.execute( """"""UPDATE sales SET unread = unread + 1 WHERE id=?;"""""", (order_id,) ) else: cursor.execute(""""""UPDATE sales SET unread=0 WHERE id=?;"""""", (order_id,)) conn.commit() conn.close()",false,if reset is False :,update_unread()============,0.0,0.0
"def _get_field_value(self, test, key, match): if test.ver == ofproto_v1_0.OFP_VERSION: members = inspect.getmembers(match) for member in members: if member[0] == key: field_value = member[1] elif member[0] == ""wildcards"": wildcards = member[1] if key == ""nw_src"": field_value = test.nw_src_to_str(wildcards, field_value) elif key == ""nw_dst"": field_value = test.nw_dst_to_str(wildcards, field_value) else: field_value = match[key] return field_value",false,"elif key == ""nw_dst"" :","field_value = test.nw_dst_to_str(wildcards,else: field_value ==(",37.5,7.71
"def nested_filter(self, items, mask): keep_current = self.current_mask(mask) keep_nested_lookup = self.nested_masks(mask) for k, v in items: keep_nested = keep_nested_lookup.get(k) if k in keep_current: if keep_nested is not None: if isinstance(v, dict): yield k, dict(self.nested_filter(v.items(), keep_nested)) else: yield k, v",false,if k in keep_current :,"keep_currentkeep_nested_lookup:keep_nested_lookup:keep_nested_lookup:k, v)",40.0,3.74
